student_id,scantron_exempt_ent_m,scantron_exempt_ent_r,scantron_exempt_ext_m,scantron_exempt_ext_r
381649,1,1,1,1
807473,1,1,1,1
544656,1,1,1,1
382815,1,1,1,1
1005464,1,1,1,1
1005001,1,1,1,1
95490,1,1,1,1
243447,1,1,1,1
122050,1,1,1,1
323408,1,1,1,1
651875,1,1,1,1
133786,1,1,1,1
1093460,1,1,1,1
122136,1,1,1,1
541293,1,1,1,1
711477,1,1,1,1
1102168,1,1,1,1
1091248,1,1,1,1
726381,1,1,1,1
1106070,1,1,1,1
845807,1,1,1,1
1004081,1,1,1,1
784217,1,1,1,1
1141152,1,1,1,1
215790,1,1,1,1
140940,1,1,1,1
818171,1,1,1,1
921560,1,1,1,1
1150632,1,1,1,1
205094,1,1,1,1
508794,1,1,1,1
498796,1,1,1,1
489784,1,1,1,1
1038820,1,1,1,1
1071245,1,1,1,1
698900,1,1,1,1
698815,1,1,1,1
698837,1,1,1,1
1099820,1,1,1,1
556829,1,1,1,1
933222,1,1,1,1
855478,1,1,1,1
113229,1,1,1,1
438905,,1,,1
578619,1,1,1,1
994985,1,1,1,1
754522,1,1,1,1
500597,1,1,1,1
798129,1,1,1,1
1158519,1,1,1,1
17529,1,1,1,1
115285,1,1,,
614092,1,1,1,1
561616,1,1,1,1
731173,1,1,1,1
940214,1,1,1,1
57104,1,1,1,1
904536,1,1,1,1
872102,1,1,1,1
665833,1,1,1,1
587433,1,1,1,1
672685,1,1,1,1
932013,1,1,1,1
288268,1,1,1,1
139027,1,1,1,1
849824,1,1,1,1
199885,1,1,1,1
543606,1,1,1,1
585986,1,1,1,1
49288,1,1,1,1
771961,1,1,1,1
772979,1,1,1,1
921739,1,1,1,1
158771,1,1,1,1
874458,1,1,1,1
978089,1,1,1,1
779664,1,1,1,1
948308,1,1,1,1
490735,1,1,1,1
964075,1,1,1,1
186222,1,1,1,1
1157456,1,1,1,1
786648,1,1,1,1
1126187,1,1,1,1
1126182,1,1,1,1
992880,1,1,1,1
127132,1,1,1,1
127133,1,1,1,1
573420,1,1,1,1
799793,1,1,1,1
974835,1,1,1,1
867843,1,1,1,1
1161208,1,1,1,1
648925,1,1,1,1
1110483,1,1,1,1
850208,1,1,1,1
518150,1,1,1,1
618912,1,1,1,1
968681,1,1,1,1
968706,1,1,1,1
1090851,1,1,1,1
978111,1,1,1,1
990196,1,1,1,1
998279,1,1,1,1
855609,1,1,1,1
997333,1,1,1,1
997903,1,1,1,1
719715,,1,,1
520968,1,1,1,1
520971,1,1,1,1
1005029,1,1,1,1
583712,1,1,1,1
1153723,1,1,1,1
705551,1,1,1,1
880589,1,1,1,1
629347,1,1,1,1
118944,1,1,1,1
97647,1,1,1,1
986950,1,1,1,1
1129116,1,1,1,1
726742,1,1,1,1
836786,1,1,1,1
664222,1,1,1,1
610262,1,1,1,1
1007675,1,1,1,1
1003151,1,1,1,1
583540,1,1,1,1
841690,1,1,1,1
91765,1,1,1,1
999794,1,1,1,1
114908,1,1,1,1
1065450,1,1,1,1
758727,1,1,1,1
886261,1,1,1,1
227446,1,1,1,1
901396,1,1,1,1
788086,1,1,1,1
970801,1,1,1,1
151743,1,1,1,1
155388,1,1,1,1
737605,1,1,1,1
708524,1,1,1,1
835672,1,1,1,1
1129169,1,1,1,1
1132629,1,1,1,1
153143,1,1,1,1
1146782,1,1,1,1
